X,Y,District,Capital,Province,REG_EN,Regional
64.99893261,36.06318875,Khwaja Sabz Posh,,Faryab,Northern,
64.91776644,35.34173868,Kohistan,,Faryab,Northern,
64.78686414,35.93225005,Maymana,1,Faryab,Northern,
64.85125818,35.81051839,Pashtun Kot,,Faryab,Northern,
64.99426034,36.79799977,Qaram Qul,,Faryab,Northern,
64.29486028,35.66045722,Qaysar,,Faryab,Northern,
64.92290594,37.05132075,Qurghan,,Faryab,Northern,
64.86697155,36.27624,Shirin Tagab,,Faryab,Northern,
68.05808517,32.89639339,Ab Band,,Ghazni,South Eastern,
67.1083095,33.52395215,Ajristan,,Ghazni,South Eastern,
68.43437741,33.30658702,Andar,,Ghazni,South Eastern,
68.650232,33.46128079,Deh Yak,,Ghazni,South Eastern,
67.66172538,32.71719145,Gelan,,Ghazni,South Eastern,
68.43023287,33.52513936,Ghazni,1,Ghazni,South Eastern,1
68.3053742,33.04931926,Giro,,Ghazni,South Eastern,
68.07974905,33.52933768,Jaghatu,,Ghazni,South Eastern,
67.42009141,33.15837246,Jaghuri,,Ghazni,South Eastern,
68.42800054,33.68142511,Khwaja Umari,,Ghazni,South Eastern,
67.22244236,33.2782897,Malistan,,Ghazni,South Eastern,
67.76626525,32.92933353,Muqur,,Ghazni,South Eastern,
67.90829794,32.33594564,Nawa,,Ghazni,South Eastern,
67.7010987,33.77609453,Nawur,,Ghazni,South Eastern,
68.02213883,33.21666416,Qara Bagh,,Ghazni,South Eastern,
68.16177835,33.70141904,Rashidan,,Ghazni,South Eastern,
68.20978537,33.41247669,Waghaz,,Ghazni,South Eastern,
68.29603125,33.56314555,Wal-e-Muhammad-e-Shahid,,Ghazni,South Eastern,
68.66130109,33.69373731,Zanakhan,,Ghazni,South Eastern,
65.18355839,35.10633399,Charsadra,,Ghor,Western,
65.74914667,34.59847209,Dawlatyar,,Ghor,Western,
65.13894895,34.12465813,DoLayna,,Ghor,Western,
65.16043281,34.7034741,Feroz Koh,1,Ghor,Western,
66.33323197,34.62052939,Lal Wa Sarjangal,,Ghor,Western,
65.13895512,33.57694211,Pasaband,,Ghor,Western,
63.60765445,33.61721462,Saghar,,Ghor,Western,
64.31417183,34.0917078,Shahrak,,Ghor,Western,
64.38508311,33.47420933,Taywarah,,Ghor,Western,
63.73112763,33.97646939,Tolak,,Ghor,Western,
65.05926341,33.11315894,Baghran,,Hilmand,Southern,
63.16217868,29.98020159,Deh-e-Shu,,Hilmand,Southern,
64.11488838,30.30920521,Garmser,,Hilmand,Southern,
65.13139306,32.56756898,Kajaki,,Hilmand,Southern,
64.53180053,31.49561674,Lashkargah,1,Hilmand,Southern,
64.75441021,32.42785772,Musa Qala,,Hilmand,Southern,
63.80061502,31.54404673,Nad-e-Ali,,Hilmand,Southern,
64.57615795,31.8890098,Nahr-e-Saraj,,Hilmand,Southern,
64.2677065,31.36220535,Nawa-e-Barakzaiy,,Hilmand,Southern,
64.26941122,32.53229764,Nawzad,,Hilmand,Southern,
63.44431492,30.75863156,Reg-i-Khan Nishin,,Hilmand,Southern,
64.97734093,32.08619656,Sangin,,Hilmand,Southern,
63.97817876,32.18517835,Washer,,Hilmand,Southern,
61.79961996,33.70745867,Adraskan,,Hirat,Western,
63.87585655,34.45669184,Chisht-e-Sharif,,Hirat,Western,
63.3107073,33.85886132,Farsi,,Hirat,Western,
61.29523437,34.31521106,Ghoryan,,Hirat,Western,
61.57661316,35.13465843,Gulran,,Hirat,Western,
62.20798232,34.05039505,Guzara,,Hirat,Western,
62.17384432,34.37439138,Hirat,1,Hirat,Western,1
62.15331336,34.48663333,Injil,,Hirat,Western,
62.70560206,34.48204064,Karukh,,Hirat,Western,
61.1771477,34.6158813,Kohsan,,Hirat,Western,
62.27617322,35.05728875,Kushk,,Hirat,Western,
62.60396448,34.93649967,Kushk-e-Kuhna,,Hirat,Western,
63.17421443,34.34285805,Obe,,Hirat,Western,
62.71806886,34.19417544,Pashtun Zarghun,,Hirat,Western,
62.42830691,33.23690215,Shindand,,Hirat,Western,
61.79394469,34.36668587,Zindajan,,Hirat,Western,
66.18599157,36.90604019,Aqcha,,Jawzjan,Northern,
65.35439215,36.01316093,Darzab,,Jawzjan,Northern,
66.35367412,36.7276445,Fayzabad,,Jawzjan,Northern,
65.73857495,37.33233681,Khamyab,,Jawzjan,Northern,
66.15976589,36.78879193,Khanaqa,,Jawzjan,Northern,
65.61329815,36.96588773,Khwaja Dukoh,,Jawzjan,Northern,
66.32636906,37.02478717,Mardyan,,Jawzjan,Northern,
66.00200724,37.06483712,Mingajik,,Jawzjan,Northern,
66.06954734,37.3011354,Qarqin,,Jawzjan,Northern,
65.35643672,36.20849636,Qush Tepa,,Jawzjan,Northern,
65.76836558,36.59033292,Shiberghan,1,Jawzjan,Northern,
69.35014313,34.4912917,Bagrami,,Kabul,Capital,
69.04874676,34.37739661,Chahar Asyab,,Kabul,Capital,
69.30657531,34.68023828,Deh Sabz,,Kabul,Capital,
69.02163707,34.85353153,Estalef,,Kabul,Capital,
69.0154744,34.79046243,Farza,,Kabul,Capital,
68.99798236,34.7479389,Guldara,,Kabul,Capital,
69.1508051,34.5178207,Kabul,1,Kabul,Capital,1
69.17160796,34.7533566,Kalakan,,Kabul,Capital,
69.40137459,34.35542789,Khak-e-Jabbar,,Kabul,Capital,
69.12071573,34.72597189,Mir Bacha Kot,,Kabul,Capital,
69.21803725,34.36977538,Musahi,,Kabul,Capital,
68.94105719,34.54619149,Paghman,,Kabul,Capital,
69.19463562,34.85121397,Qara Bagh,,Kabul,Capital,
69.06101749,34.65267233,Shakar Dara,,Kabul,Capital,
69.70456879,34.53068405,Surobi,,Kabul,Capital,
65.66519645,31.7657003,Arghandab,,Kandahar,Southern,
66.47767556,31.51715394,Arghestan,,Kandahar,Southern,
65.71170558,31.22323173,Daman,,Kandahar,Southern,
65.27079823,32.07930581,Ghorak,,Kandahar,Southern,
65.73637254,31.51894777,Kandahar,1,Kandahar,Southern,1
65.58732912,32.00967659,Khakrez,,Kandahar,Southern,
67.24422479,31.47831452,Maruf,,Kandahar,Southern,
64.97585314,31.58929507,Maywand,,Kandahar,Southern,
66.34853899,32.37887872,Miyanshin,,Kandahar,Southern,
65.74507969,32.40775923,Nesh,,Kandahar,Southern,
65.13271625,31.13483076,Panjwayi,,Kandahar,Southern,
65.21449872,30.14336884,Reg,,Kandahar,Southern,
