shapeid,x,y,PROV_NA_EN
0,65.47408796,33.95026458,Ghor
0,65.4851627,33.93754394,Ghor
0,65.48328404,33.92169049,Ghor
0,65.44034004,33.9070541,Ghor
0,65.41493185,33.86796457,Ghor
0,65.42222856,33.85154697,Ghor
0,65.4101108,33.84164429,Ghor
0,65.44057982,33.82054924,Ghor
0,65.44728595,33.80161132,Ghor
0,65.47801512,33.7994485,Ghor
0,65.47565092,33.79382476,Ghor
0,65.50353478,33.76229254,Ghor
0,65.50874672,33.73975091,Ghor
0,65.55369968,33.73649345,Ghor
0,65.58379862,33.75186867,Ghor
0,65.60581906,33.73102092,Ghor
0,65.61142189,33.71264884,Ghor
0,65.65142351,33.70821869,Ghor
0,65.65862975,33.69789565,Ghor
0,65.64608954,33.67694151,Ghor
0,65.50768521,33.66262178,Ghor
0,65.51831593,33.61874177,Ghor
0,65.51492315,33.60290878,Ghor
0,65.52713717,33.57938548,Ghor
0,65.51424374,33.57707104,Ghor
0,65.48363341,33.55145565,Ghor
0,65.47757823,33.53290644,Ghor
0,65.43414236,33.50575673,Ghor
0,65.42306468,33.49182309,Ghor
0,65.42289159,33.47286987,Ghor
0,65.38696676,33.46644542,Ghor
0,65.38060143,33.43094887,Ghor
0,65.36643106,33.41591352,Ghor
0,65.32256097,33.40338919,Ghor
0,65.28883223,33.4054203,Ghor
0,65.26661312,33.39366448,Ghor
0,65.2524956,33.37155507,Ghor
0,65.22890381,33.36081105,Ghor
0,65.1793452,33.37211822,Ghor
0,65.16111687,33.36679867,Ghor
0,65.12244966,33.33071739,Ghor
0,65.1192547,33.31631143,Ghor
0,65.00812653,33.29119009,Ghor
0,64.984224,33.26799684,Ghor
0,64.95471821,33.25530084,Ghor
0,64.94876031,33.23842012,Ghor
0,64.9152826,33.24686048,Ghor
0,64.90755151,33.25721588,Ghor
0,64.88868483,33.25615197,Ghor
0,64.86293819,33.23678879,Ghor
0,64.83896474,33.19969378,Ghor
0,64.82818378,33.20714115,Ghor
0,64.80981359,33.20352386,Ghor
0,64.79357122,33.24778254,Ghor
0,64.78364139,33.2565066,Ghor
0,64.75236242,33.23749807,Ghor
0,64.72427518,33.24125722,Ghor
0,64.70880995,33.23228397,Ghor
0,64.69740977,33.24958782,Ghor
0,64.68355087,33.25363911,Ghor
0,64.64679361,33.22866247,Ghor
0,64.61882944,33.23035333,Ghor
0,64.60752739,33.21344882,Ghor
0,64.57677668,33.20713401,Ghor
0,64.54608509,33.18634738,Ghor
0,64.51174423,33.21103567,Ghor
0,64.48167278,33.21177818,Ghor
0,64.47109208,33.20026935,Ghor
0,64.45596064,33.20535781,Ghor
0,64.42672741,33.18133547,Ghor
0,64.38960215,33.12731823,Ghor
0,64.36547074,33.13734205,Ghor
0,64.33911181,33.1263901,Ghor
0,64.31813604,33.12787511,Ghor
0,64.29103461,33.13827018,Ghor
0,64.26578944,33.16592849,Ghor
0,64.23070607,33.15015026,Ghor
0,64.19747897,33.19005991,Ghor
0,64.16332374,33.25651411,Ghor
0,64.15051553,33.26876544,Ghor
0,64.13418042,33.26895107,Ghor
0,64.09937549,33.28779213,Ghor
