X,Y,Shape_Leng,Shape_Area,ADM2_EN,ADM2_DA,ADM2_PCODE,ADM2_REF,ADM2ALT1EN,ADM2ALT2EN,ADM2ALT1DA,ADM2ALT2DA,ADM1_EN,ADM1_DA,ADM1_PCODE,ADM0_EN,ADM0_DA,ADM0_PCODE,date,validOn,ValidTo,REG_EN,REG_DA,REG_PCODE
68.64742256,36.296092,2.642236888,0.260793484,Baghlan-e-Jadid,بغلان جدید,AF0905,,,,,,Baghlan,بغلان,AF09,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,North Eastern,سهیل ختیځه حوزه,NE
65.05926341,33.11315894,4.686342944,0.372193763,Baghran,باغران,AF3012,,,,,,Hilmand,هلمند,AF30,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Southern,جنوبی حوزه,SR
69.33387407,34.92235973,1.110193697,0.035569906,Bagram,بگرام,AF0302,,,,,,Parwan,پروان,AF03,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Capital,مرکزی حوزه,CR
69.35014313,34.4912917,0.861447945,0.027447575,Bagrami,بگرامی,AF0104,,,,,,Kabul,کابل,AF01,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Capital,مرکزی حوزه,CR
70.87764085,37.03033261,0.894332686,0.032765538,Baharak,بهارک,AF1706,,,,,,Badakhshan,بدخشان,AF17,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,North Eastern,سهیل ختیځه حوزه,NE
69.40095311,36.8272981,0.838238001,0.024595021,Baharak,بهارک,AF1803,,,,,,Takhar,تخار,AF18,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,North Eastern,سهیل ختیځه حوزه,NE
70.06790283,33.54386495,0.725050288,0.016585779,Bak,باک,AF1409,,,,,,Khost,خوست,AF14,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,South Eastern,جنوب ختیځه حوزه,SE
62.85184452,32.20178833,2.412982322,0.231274997,Bakwa,بکواه,AF3308,,,,,,Farah,فراه,AF33,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Western,لویدیځه حوزه,WR
62.62615632,32.76675327,4.628440856,0.528299015,Bala Buluk,بالا بلوک,AF3306,,,,,,Farah,فراه,AF33,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Western,لویدیځه حوزه,WR
63.4208534,35.50800985,4.305470792,0.439906671,Bala Murghab,بالا مرغاب,AF3105,,,,,,Badghis,بادغیس,AF31,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Western,لویدیځه حوزه,WR
66.88647525,36.79253555,1.011753372,0.054590911,Balkh,بلخ,AF2106,,,,,,Balkh,بلخ,AF21,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Northern,سهیلی حوزه,NR
66.57240226,35.44280092,2.820321566,0.295542528,Balkhab,بلخاب,AF2207,,,,,,Sar-e-Pul,سرپل,AF22,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Northern,سهیلی حوزه,NR
67.67560489,34.80186071,2.128533058,0.17711014,Bamyan,بامیان,AF1001,,Centre,,,,Bamyan,بامیان,AF10,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Central Highland,لوړه مرکزی حوزه,CH
69.35215896,36.63610236,1.301203616,0.060786658,Bangi,بنگی,AF1804,,,,,,Takhar,تخار,AF18,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,North Eastern,سهیل ختیځه حوزه,NE
71.3878993,35.06029364,0.684460776,0.016673873,Bar Kunar,برکنر,AF1508,,,,,,Kunar,کنر ها,AF15,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Eastern,ختیځه حوزه,ER
68.87718515,33.93118717,0.834391608,0.026634233,Baraki Barak,برکی برک,AF0502,,,,,,Logar,لوگر,AF05,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Capital,مرکزی حوزه,CR
71.25879627,35.79593343,2.176429695,0.171134435,Barg-e-Matal,برگ متال,AF1608,,,,,,Nuristan,نورستان,AF16,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Eastern,ختیځه حوزه,ER
69.25766624,32.70430408,1.855622309,0.125032028,Barmal,برمل,AF1214,,,,,,Paktika,پکتیکا,AF12,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,South Eastern,جنوب ختیځه حوزه,SE
70.76099572,34.29393476,0.558514544,0.014944037,Bati Kot,بتی کوټ,AF0609,,,,,,Nangarhar,ننگرهار,AF06,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Eastern,ختیځه حوزه,ER
69.5234353,35.36371621,0.94326314,0.034203915,Bazarak,بازارک,AF0801,,Centre,,,,Panjsher,پنجشیر,AF08,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Capital,مرکزی حوزه,CR
70.47346593,34.45691735,1.28331809,0.03051846,Behsud,بهسود,AF0602,,,,,,Nangarhar,ننگرهار,AF06,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Eastern,ختیځه حوزه,ER
65.46603861,35.89456558,2.361341225,0.112226621,Bilcheragh,بلچراغ,AF2905,,,,,,Faryab,فاریاب,AF29,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Northern,سهیلی حوزه,NR
69.11130631,36.26044131,1.600298574,0.083853313,Burka,بورکه,AF0910,,,,,,Baghlan,بغلان,AF09,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,North Eastern,سهیل ختیځه حوزه,NE
69.88257843,37.44680616,1.35230709,0.077533726,Chahab,چاه آب,AF1816,,,,,,Takhar,تخار,AF18,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,North Eastern,سهیل ختیځه حوزه,NE
69.04874676,34.37739661,0.80705311,0.025248007,Chahar Asyab,چهار آسیاب,AF0103,,,,,,Kabul,کابل,AF01,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Capital,مرکزی حوزه,CR
68.58705697,36.68952338,1.966632347,0.122425371,Chahar Darah,چهار دره,AF1902,,,,,,Kunduz,کندز,AF19,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,North Eastern,سهیل ختیځه حوزه,NE
68.46868561,34.10517011,1.868903176,0.108588131,Chak-e-Wardak,چک,AF0404,,,,,,Maidan Wardak,میدان وردک,AF04,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Capital,مرکزی حوزه,CR
62.14559043,31.42456718,5.292605353,0.927719587,Chakhansur,چخانسور,AF3403,,,,,,Nimroz,نیمروز,AF34,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Southern,جنوبی حوزه,SR
69.53577939,36.50758129,1.059204189,0.032827827,Chal,چال,AF1805,,,,,,Takhar,تخار,AF18,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,North Eastern,سهیل ختیځه حوزه,NE
69.81469764,33.79537288,0.916152403,0.029342931,Chamkani,څمکنی,AF1310,,,,,,Paktya,پکتیا,AF13,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,South Eastern,جنوب ختیځه حوزه,SE
70.69771057,34.96274477,1.142817976,0.059268752,Chapa Dara,چپه دره,AF1513,,,,,,Kunar,کنر ها,AF15,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Eastern,ختیځه حوزه,ER
70.36365552,34.27283998,0.680761358,0.022645258,Chaparhar,چپر هار,AF0604,,,,,,Nangarhar,ننگرهار,AF06,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Eastern,ختیځه حوزه,ER
66.65795995,36.83996035,1.550807934,0.052080542,Char Bolak,چار بولک,AF2111,,,,,,Balkh,بلخ,AF21,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Northern,سهیلی حوزه,NR
